Instrument,Sector,Industry,Name,Fwd_PE,Fwd_PEG,Fwd_PB,P_S,Fwd_EV_FCF,EBIT_Margin,Fwd_DPS,Fwd_ROE,CAGR,Fwd_FCF_Conversion,Fwd_Capex_Revenue,ND_EV,Fwd_EV_EBITDA,CET1,RSI,RSI_ORDER,PX_MA200,MA10_MA100,DMI
BLND.L,Real Estate,Equity Real Estate Investment Trusts (REITs),British Land Company PLC,12.1633414843194,3.2647380298224,0.571811605792624,7.74695045805729,56.990427989709,54.845814978,0.2300451,6.31929,0.08171272170239052,0.3258693663493717,0.8256111774530531,43.0057658661,15.2920542175111,,33.938906243274275,,0.9197470830223955,0.9456626937658075,18.390873555196837
HOTG.DE,Industrials,Capital Goods,Hochtief AG,20.7479938012654,2.06806744675826,12.7239709443099,0.460909098040092,22.4002319120869,5.2902186613,5.91188,52.556,0.11384429448552935,1.0744934399901485,0.6960229459241738,15.4425613862,8.74742586149743,,82.0861405774325,,1.426571036006127,1.1440959847944878,43.41990555633778
KEMIRA.HE,Materials,Materials,Kemira Oyj,12.4858042949627,14.2548513385143,1.64775613886537,1.05935175189935,14.4511996490878,13.5070045114,0.78106,12.62,-0.07481602294427991,0.9338742393509127,0.8509127789046653,8.7924291964,6.16212311134758,,58.32715835407088,,0.9850056332845198,0.9812183029782923,12.7063655432309
MICP.PA,Consumer Discretionary,Automobiles & Components,Compagnie Generale des Etablissements Michelin SCA,10.0370544735991,0.531695192141348,1.15922558996038,0.827156580151086,14.6358435988335,11.7199279226,1.48456,11.95409,-0.022291091173012423,0.8128026292663412,0.9910655373458921,13.2626285793,5.08313558547698,,51.447182497101934,,0.9803390313346204,0.9826065837163247,18.549839012154187
FRES.L,Materials,Materials,Fresnillo PLC,19.4468682870084,0.21714534308344,4.21576495157357,4.37266988695676,16.4883453812227,26.5141567648,1.1138,22.57446,0.1685049348641845,1.107219958192287,0.5235567092516841,,8.22515644180711,,75.57011797024148,,1.8033535620720598,1.2265663893110996,29.183839751653313
CVC.AS,Financials,Financial Services,CVC Capital Partners PLC,20.4039167686659,1.33086357651882,10.8627655415092,11.3178435244066,27.2047607392694,61.9246135029,0.45394,75.09927,0.20690992591588708,0.8321154515523427,0.06834616990246559,4.8699703425,17.5342591293964,,46.168262451212804,,0.8768663565468667,1.0267346521063847,14.111075940341191
LIGHT.AS,Industrials,Capital Goods,Signify NV,7.90547798066595,1.8732126331445,0.871994865972256,0.467784875378012,9.54545416142424,8.8393293179,1.57847,9.74275,-0.0771952919533182,1.2748353669306243,0.33833370838040117,24.5480897164,5.69617839235203,,55.60944431511159,,1.059395049547019,1.0450804054569012,16.288355009487884
CMBN.S,Financials,Financial Services,Cembra Money Bank Ltd,14.5599003399925,1.20985015838116,2.02106745029492,5.79296396252051,,47.5214141029,4.44467,14.21533,0.024183932283457166,,,46.6993240814,,15.5,37.69800676954049,,0.9933712300050991,0.9659211658149066,37.43267527077672
KSP.I,Industrials,Capital Goods,Kingspan Group PLC,17.6211566655389,1.24714041970591,2.85388127853881,1.39746089947193,27.9684473135801,10.0394981413,0.57366,15.57329,0.03680615766315842,0.7496608623242409,0.4398474988014417,12.1710677419,13.4208627427636,,39.204971769575074,,0.9383263669709119,0.9732395510364342,13.621104778384932
DNB.OL,Financials,Banks,Dnb Bank ASA,9.50988429342062,,1.4517729825431,2.05886871071691,,110.1449737136,17.21758,15.27639,0.11731634715907968,,,67.5004634662,,19.4,50.61363679167534,,1.0474739019883448,0.9731209835149482,25.325220015900324
SABE.MC,Financials,Banks,Banco de Sabadell SA,9.7563828853859,1.06098532394271,1.17796610169492,1.89754071673179,,68.6622237068,0.20752,12.373,0.05842995869228784,,,55.9793037657,,13.02,74.85652357701456,,1.3714062409364154,1.1152343891010694,44.01690297185471
DTGGe.DE,Industrials,Capital Goods,Daimler Truck Holding AG,11.9227748388736,0.80558148906655,1.39854028839262,0.633488494232268,30.9414028691482,9.4883222072,1.69308,13.19733,-0.002344414219246027,0.6232749525156716,0.7646176575782627,37.1029997324,9.94937073817644,,50.93832968304494,,1.0639094927699109,1.0824654905376019,13.44684718226721
WLSNc.AS,Industrials,Commercial  & Professional Services,Wolters Kluwer NV,22.1718527758551,1.98158091684465,24.2878716867156,4.57643301625803,24.8448952808694,24.9661933739,2.51886,87.486,0.04111171926968349,1.061707151126432,0.2945122534188081,7.747355273,15.451586437052,,16.3472161059302,,0.7536212068682074,0.9094749713202311,33.908582863343135
SY1G.DE,Materials,Materials,Symrise AG,20.4037267080745,1.11925986265542,2.55010120835465,2.20969437560896,24.2717216033659,14.6437750587,1.27144,12.43706,0.02844256313281046,1.0078071010166678,0.4839820104298511,11.2458711423,12.1180723680299,,28.293865943120693,,0.8003175992918229,0.8811720489714172,53.30295340144201
SOON.S,Health Care,Health Care Equipment & Services,Sonova Holding AG,20.8902803307752,1.52922216088092,4.68898820426405,3.45537466135459,23.2694013834079,19.4054949035,4.37969,28.87943,0.024533217255019224,0.9716481164586834,0.24690711501756887,6.5519748095,13.7828529210082,,41.97458167456148,,0.8226827465955131,0.9247385092084504,28.986558901665497
SVT.L,Utilities,Utilities,Severn Trent PLC,16.1961780620257,0.501129340068914,4.36313264294494,3.23628458898505,,24.7043309845,1.2575318,27.65133,0.08763087071925746,-1.5373598297500333,3.82267770534446,53.3291389405,12.4238477890249,,36.74469829794061,,0.990462850909175,1.0007215386812378,18.225478597295872
